ROBUST STOCK RECALCULATION V2 - RESULTS
==========================================
Executed at: 2026-01-08 16:34:16
Cutoff Date: 2025-12-31

Products Processed: 993
Products Updated: 412
Records Created: 260
Records Updated: 0
Records Deleted: 16839
Errors: 0

STOCK CHANGES:
Product 428: 0 => 40 (+40) [Opname: 70, Tx: 2]
Product 430: 0 => 20 (+20) [Opname: 20, Tx: 0]
Product 434: 11 => 6 (-5) [Opname: 7, Tx: 1]
Product 439: 23 => 21 (-2) [Opname: 21, Tx: 0]
Product 442: 60 => 40 (-20) [Opname: 40, Tx: 0]
Product 444: 300 => 160 (-140) [Opname: 160, Tx: 0]
Product 454: 140 => 130 (-10) [Opname: 130, Tx: 0]
Product 455: 120 => 100 (-20) [Opname: 100, Tx: 0]
Product 457: 130 => 180 (+50) [Opname: 180, Tx: 0]
Product 458: 380 => 280 (-100) [Opname: 300, Tx: 1]
Product 460: 140 => 100 (-40) [Opname: 100, Tx: 0]
Product 461: 14 => 13 (-1) [Opname: 13, Tx: 0]
Product 467: 0 => 3 (+3) [Opname: 3, Tx: 0]
Product 468: 0 => 2 (+2) [Opname: 2, Tx: 0]
Product 473: 19 => 24 (+5) [Opname: 12, Tx: 1]
Product 494: 9 => 12 (+3) [Opname: 6, Tx: 1]
Product 496: 14 => 3 (-11) [Opname: 4, Tx: 1]
Product 498: 325 => 174 (-151) [Opname: 189, Tx: 3]
Product 501: 140 => 80 (-60) [Opname: 80, Tx: 0]
Product 502: 0 => 1 (+1) [Opname: 1, Tx: 0]
Product 504: 295 => 150 (-145) [Opname: 180, Tx: 2]
Product 506: 380 => 320 (-60) [Opname: 320, Tx: 0]
Product 507: 200 => 190 (-10) [Opname: 190, Tx: 0]
Product 509: 420 => 300 (-120) [Opname: 300, Tx: 0]
Product 510: 190 => 90 (-100) [Opname: 90, Tx: 0]
Product 511: 850 => 700 (-150) [Opname: 720, Tx: 1]
Product 512: 660 => 320 (-340) [Opname: 320, Tx: 0]
Product 514: 60 => 40 (-20) [Opname: 40, Tx: 0]
Product 516: 20 => 13 (-7) [Opname: 15, Tx: 1]
Product 517: 8 => 4 (-4) [Opname: 5, Tx: 1]
Product 522: 126 => 109 (-17) [Opname: 109, Tx: 0]
Product 523: 76 => 138 (+62) [Opname: 141, Tx: 1]
Product 524: 160 => 130 (-30) [Opname: 130, Tx: 0]
Product 527: 3 => 2 (-1) [Opname: 2, Tx: 0]
Product 533: 6 => 5 (-1) [Opname: 5, Tx: 0]
Product 534: 13 => 11 (-2) [Opname: 11, Tx: 0]
Product 535: 13 => 11 (-2) [Opname: 11, Tx: 0]
Product 537: 270 => 50 (-220) [Opname: 60, Tx: 1]
Product 538: 0 => 3 (+3) [Opname: 4, Tx: 1]
Product 542: 2 => 1 (-1) [Opname: 1, Tx: 0]
Product 543: 73 => 64 (-9) [Opname: 64, Tx: 0]
Product 546: 14 => 12 (-2) [Opname: 12, Tx: 0]
Product 547: 8 => 6 (-2) [Opname: 6, Tx: 0]
Product 550: 3 => 2 (-1) [Opname: 3, Tx: 1]
Product 557: 29 => 18 (-11) [Opname: 20, Tx: 2]
Product 558: 21 => 8 (-13) [Opname: 10, Tx: 1]
Product 560: 558 => 459 (-99) [Opname: 509, Tx: 3]
Product 561: 20 => 15 (-5) [Opname: 15, Tx: 0]
Product 562: 5 => 14 (+9) [Opname: 15, Tx: 1]
Product 563: 320 => 120 (-200) [Opname: 120, Tx: 0]
Product 565: 60 => 50 (-10) [Opname: 50, Tx: 0]
Product 567: 240 => 110 (-130) [Opname: 110, Tx: 0]
Product 570: 0 => 180 (+180) [Opname: 180, Tx: 0]
Product 571: 2 => 3 (+1) [Opname: 4, Tx: 1]
